,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
47,Metrics Overload? How to Streamline Marketing Data,Why to Think Twice About Green Labels (1.02),Getting Comfortable With Self-Promotion (1.01),What If Someone Stole Your Website? (1.01),Awaken Your Productivity With Fearless At Work (1.01),"Twitter Ads Soar, But Beware This AdWords Hack (1.01)",Why I Linked Out on LinkedIn (1.01),3 Ways to Look at Marketing (1.00),10 phrases in your emails that make you sound unprofessional (1.00),25 Free WordPress Plugins for Integrating Google Features (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00)
48,Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation,Time and Expense Tracking Apps: 27 Solutions (1.01),Managing Different Generations in the Workplace (1.01),Big News: Quickbooks Competitor Intacct Targets the SMB Market (1.01),3 Ways to Look at Marketing (1.00),11 Ways to Use Twitter To Develop Sales Leads (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),20 Reasons People Unfollow You On Twitter (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00)
49,IRS Adopts Taxpayer Bill of Rights,Successful S-Corp Owners: Watch Out For A Tax Increase (1.01),Evernote Coming Out With New App Just for Businesses (1.01),"South Dakota, Texas Top List of Best State Tax Systems (1.01)",25 of the Best Cities for Freelancers to Work and Play (1.01),Internet Sales Tax Bill May Stall in House of Representatives (1.01),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.01),How Do You Feel About Raising the Minimum Wage? (1.01),Communicating to Employees About Health Insurance Open Enrollment (1.01),"Federal Gas Tax Could Increase by 15 Cents, More Costs Possible (1.01)",Understanding Health Insurance Marketplaces: Fast Facts (1.01)
50,Vine: Now You Can Send Video Messages Directly to Friends and Colleagues,Franchising: The Importance Of Great Systems Within The System (1.03),Infusionsoft Gmail Integration is Now Available (1.01),How to Get Your Products Discovered with Videos (1.00),"Court Reverses $338,000 Award for User Generated Content (1.00)","Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)","Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Social Media Customer Care Company Raises $1 Million for Growth (1.00),Spotlight: Manage A Gazillion Marketing Platforms with Holonis (1.00),Pinterest Contemplates Sponsored Pins (1.00),Twitter Ads API Gives You More Advertising Options (1.00)
51,4 Real Reasons to Care About Google Place Pages,3 Ways to Look at Marketing (1.00),10 phrases in your emails that make you sound unprofessional (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),How to Leverage Infographics for B2B Marketing (1.00),Getting Comfortable With Self-Promotion (1.00),4 Ways to Market Your SMB With Flickr (1.00),The 5 Types of Influencers On The Web (1.00),10 Assets for Using Tech to Keep Your Team on Track (1.00)
52,Why Employees Are Always A Bad Idea: A Review,Review  of Crush It!: Why Now is the Time to Cash in on your Passion (1.00),Book Review: I Love You More Than My Dog (1.00),"Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons (1.00)",New Google and New Foursquare Offerings Call Attention to Local Business Marketing (0.99),Book Review: You Are What You Choose (0.99),20 Ways to Kick Start Your Motivation Beginning Today (0.99),Why SMB owners should care about SEO (0.99),10 Creative and Efficient Customer Service Solutions (0.99),When To Respond To Negative Reviews (and not) (0.99),5 Ways to Avoid BYOD Nightmares (0.99)
53,Social Customers Means a Social Inbox: Review of Nimble CRM,Managing Different Generations in the Workplace (1.01),3 Ways to Look at Marketing (1.00),10 phrases in your emails that make you sound unprofessional (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation (1.00),4 Real Reasons to Care About Google Place Pages (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00),Not Sure How to Use LinkedIn for B2B? Let Us Help You (1.00)
54,10 Things You Need To Do After Forming An LLC,Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.01),Evernote Coming Out With New App Just for Businesses (1.00),IRS Adopts Taxpayer Bill of Rights (1.00),How my first startup ended in a loss of Rs 15 lakh and shut down in a year (1.00),No More Tipping at This Pittsburgh Restaurant (1.00),Successful S-Corp Owners: Watch Out For A Tax Increase (0.99),Loan Approvals Rising at Small Banks and Alternative Lenders (0.99),Internet Sales Tax Bill May Stall in House of Representatives (0.99),Estimated Tax Payments:  Your Questions Answered (0.99),10 Questions to Ask Before Applying for a Bank Loan (0.99)
55,Mix360 Headset Promises Hi-Fi Experience From Your Smartphone,[Techie Tuesdays] Manish Bhattacharya  The Kid who paid his education loan by hacking into facebook (1.01),CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain (1.00),"Busted: Hotels.com Caught Buying Links, Apology is Weak (1.00)",What is a Database? (1.00),Yahoo Opens Its Ad Network to Other Publishers (1.00),CorpNet Adds Free Meeting Minutes and Corporate Document Templates (1.00),MyOpenID Will Shut Down in February (1.00),"New Line Cinema: Director, Interactive Marketing, LA (1.00)",60 Percent of Online Traffic Now Comes From Mobile (1.00),LinkedIn Acquires Bizo for a Cool $175 Million (1.00)
56,20 Reasons People Unfollow You On Twitter,Time and Expense Tracking Apps: 27 Solutions (1.01),Outright: Simple Online Bookkeeping for Sole Proprietors (1.01),Big News: Quickbooks Competitor Intacct Targets the SMB Market (1.01),3 Ways to Look at Marketing (1.00),11 Ways to Use Twitter To Develop Sales Leads (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00),10 Tips for Using a Blog to Increase Email List Signups (1.00)
57,ZenPayroll Could Change the Way You Pay,Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores (1.01),New Microsoft Surface 2 Tablets Have Arrived (1.00),Call+ Offers Free Landline Calls To 16 Countries (1.00),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (0.99)","New Apple iPad Thinner, Lighter But Still $499 (0.99)",Thanks to TheAppleBlog Sponsors! (0.99),Juice Your Apple Devices with this Fun Juice Box Charger (0.99),Amazon Introduces New Kindle Fire Tablets (0.99),The 5 best new songs you can stream right now (0.99),Your Uncharged Phone Might Not be Allowed on Some Flights (0.99)
58,How millions from the Bangladesh Bank heist disappeared,European shares lifted by solid earnings but RBS slumps (1.00),STOCKS RALLY: Here's what you need to know (1.00),The Daily Sprout (1.00),The 10 most important things in the world right now (1.00),Here comes Markit services PMI ... (1.00),Daily Sprout (1.00),Putin and Erdogan move towards repairing Russia-Turkey ties (1.00),"What to buy, sell and hold (1.00)","The curious story of Dadi Balsara, the Parsi billionaire who stayed
at Taj Mansingh Hotel for 36 years (1.00)",Rupee down against dollar (1.00)
59,How the Cloud is Reshaping Small Business Productivity,Small Business Product Launches and Shut Downs (1.00),10 Apps to Assist with Your Small Business Taxes (1.00),The Secret to Achieving Resolutions:  Setting Small Goals (1.00),Improving Your Community Can Improve Your Business (1.00),How Cloud Computing Can Help You Scale Your Business (1.00),Email Erases 9 to 5 at Many Small to Mid-Sized Businesses (1.00),Catch Up With Our Latest Small Business News Recap (1.00),Small Business Disaster Survival Guide: Get Your Insurance Claims Covered (1.00),Small Business Leads To Better Economy (1.00),Oakland Program Helps Underprivileged Youth Start Businesses (1.00)
60,How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes,Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu (1.01),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)","India orders four maritime spy planes from Boeing, bolsters navy (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",The 10 most luxurious first-class plane cabins in the world (1.00),The 20 best smartphones in the world (1.00),Kid Inventors Come Up With Creative Environmental Solutions (1.00),Microsoft Temporarily Cuts the Price on the Surface 2 (1.00)
61,5 Benefits of Having a Website for Your Small Business,What Is HTML5? Do I Need It For My Business Website? (1.00),Hacking of Google Maps May Have Killed This Business (1.00),Outsell Yourself: Go From Hello to Sold With Ethical Business and Sales Techniques (1.00),How a Small Business Can Use Big Data (1.00),How Are Business Books Like Restaurants? (1.00),How best friends turned co-founders are building their dream business (1.00),12 Blogs Every Small Business Should Be Reading (1.00),20 Important LinkedIn Groups for Business (1.00),Clate Mask of Infusionsoft: $54M Ways Your Small Business Can Benefit (1.00),Government Resources to Help Market Your Business Overseas (1.00)
62,CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain,[Techie Tuesdays] Manish Bhattacharya  The Kid who paid his education loan by hacking into facebook (1.02),This Coffee Shop is Selling More Than Just Coffee (1.02),"Busted: Hotels.com Caught Buying Links, Apology is Weak (1.01)",What is a Database? (1.01),Yahoo Opens Its Ad Network to Other Publishers (1.01),CorpNet Adds Free Meeting Minutes and Corporate Document Templates (1.01),MyOpenID Will Shut Down in February (1.01),"New Line Cinema: Director, Interactive Marketing, LA (1.01)",60 Percent of Online Traffic Now Comes From Mobile (1.01),LinkedIn Acquires Bizo for a Cool $175 Million (1.01)
63,"New Apple iPad Thinner, Lighter But Still $499",Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores (1.02),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),Amazon Introduces New Kindle Fire Tablets (1.00),The 5 best new songs you can stream right now (1.00),Nokia Introduces Asha Smartphones Beginning at Just $69 (1.00),Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works? (1.00),UPS Considers Delivery Drones Too (1.00),When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur (1.00),Curved LG G Flex 2 Phablet a Sequel Improving the Original (1.00),Lenovo A7000 Phablet Offers Super Sound and Little Interference (1.00)
64,Senate Passes Internet Sales Tax; Bill Moves to House,Do You Trust Your Employees to Work Remotely? (1.02),Consumer Attitudes Indicate a New Year with Old Spending Habits (1.01),Internet Sales Tax Issue Still Lives Despite Activist Claims (1.01),On the Long Road to Economic Recovery? You Decide (1.00),How to Get a Startup Visa Act Passed (1.00),How Venture Capital Deals Have Changed Since the Great Recession (1.00),HP Announces 8 New Business Tablets (1.00),"Robust Employment Growth, Just not for the Self-Employed (1.00)",A dummy's guide to GST (1.00),Pricing pressure in US biz cyclical in nature: Cadila Health (1.00)
65,Quantify Lets You Shop For Your Next Business Consultant Online,Upstarts: How GenY Entrepreneurs are Rocking the World of Business (1.01),Evernote Business: Know What Your Team Knows (1.01),Mid-Year Business Review: Risk Management Edition (1.00),Best Small Business Books (1.00),The Commitment Engine Inspires Small Business Growth (1.00),Small Business News: Small Biz Startup Tips (1.00),10 Tips For Organizing Your Small Business This Year (1.00),25 Top YouTube Channels for Small Business Owners and Entrepreneurs (1.00),WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers (1.00),"Yelp Will Allow Businesses to Sell Food, Other Services (1.00)"
66,Is It Time to Change Your Business Structure?,"Fortune 500 Thrives, But Small Businesses Not So Optimistic (1.00)",10 Apps to Assist with Your Small Business Taxes (1.00),The Secret to Achieving Resolutions:  Setting Small Goals (1.00),Satanic Latte Art? How Should a Business Respond? (1.00),Protecting Small Business Intellectual Property (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),Reward your Small Business with the Capital One Spark (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),Cyber Liability Insurance: Protect Your Business Online (1.00)
